EX	EM	
nm	nm	
		Z of Processed Data: RM
570	282.633	0
570	284.237	0
570	285.842	0
570	287.448	0
570	289.054	0
570	290.661	0
570	292.268	0
570	293.876	0
570	295.485	0
570	297.094	0
570	298.704	0
570	300.315	0
570	301.926	0
570	303.538	0
570	305.15	0
570	306.763	0
570	308.377	0
570	309.991	0
570	311.606	0
570	313.221	0
570	314.837	0
570	316.454	0
570	318.071	0
570	319.689	0
570	321.307	0
570	322.926	0
570	324.546	0
570	326.166	0
570	327.787	0
570	329.408	0
570	331.03	0
570	332.653	0
570	334.276	0
570	335.9	0
570	337.524	0
570	339.149	0
570	340.774	0
570	342.4	0
570	344.026	0
570	345.653	0
570	347.281	0
570	348.909	0
570	350.538	0
570	352.167	0
570	353.797	0
570	355.428	0
570	357.059	0
570	358.69	0
570	360.322	0
570	361.955	0
570	363.588	0
570	365.222	0
570	366.856	0
570	368.491	0
570	370.126	0
570	371.762	0
570	373.398	0
570	375.035	0
570	376.672	0
570	378.31	0
570	379.949	0
570	381.588	0
570	383.227	0
570	384.867	0
570	386.508	0
570	388.149	0
570	389.79	0
570	391.432	0
570	393.075	0
570	394.718	0
570	396.361	0
570	398.005	0
570	399.65	0
570	401.295	0
570	402.941	0
570	404.587	0
570	406.233	0
570	407.88	0
570	409.527	0
570	411.175	0
570	412.824	0
570	414.473	0
570	416.122	0
570	417.772	0
570	419.422	0
570	421.073	0
570	422.724	0
570	424.376	0
570	426.028	0
570	427.681	0
570	429.334	0
570	430.987	0
570	432.641	0
570	434.295	0
570	435.95	0
570	437.606	0
570	439.261	0
570	440.918	0
570	442.574	0
570	444.231	0
570	445.889	0
570	447.547	0
570	449.205	0
570	450.864	0
570	452.523	0
570	454.182	0
570	455.842	0
570	457.503	0
570	459.164	0
570	460.825	0
570	462.487	0
570	464.149	0
570	465.811	0
570	467.474	0
570	469.137	0
570	470.801	0
570	472.465	0
570	474.13	0
570	475.794	0
570	477.46	0
570	479.125	0
570	480.791	0
570	482.458	0
570	484.124	0
